3.519148476177780423e+06;-8.058846240752805956e+06;7.221782633644362912e+06
3.518246811368130147e+06;-8.060617148406046443e+06;7.220251167392918840e+06
3.517344529170780908e+06;-8.062387742863076739e+06;7.218719484124908224e+06
3.516441628994218074e+06;-8.064158022301887162e+06;7.217187582870155573e+06
3.520158619975043926e+06;-8.061159468966477551e+06;7.218719486032334156e+06
3.519011511451998260e+06;-8.060834155242622830e+06;7.219638519677306525e+06
3.518300408910815138e+06;-8.062658984539208002e+06;7.217953559884781018e+06
3.517155899965156335e+06;-8.064259403564777225e+06;7.216727970327695832e+06
3.519906124335436150e+06;-8.060581254222247750e+06;7.219485354949392378e+06
3.519011512378350366e+06;-8.060834157364573330e+06;7.219638521584975533e+06
3.520609529018185567e+06;-8.060274053074301220e+06;7.219485354313515127e+06
3.518961021663734689e+06;-8.060718500659395941e+06;7.219791687940459698e+06
